date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:24	110026/110026	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:11%20GMT	https://template.annimexweb.com/optimal/vendor-settings.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-settings.html	(from https://template.annimexweb.com/optimal/)
06:35:24	26398/26398	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:18%20GMT	https://template.annimexweb.com/optimal/email-template/email-order-success1.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-order-success1.html	(from https://template.annimexweb.com/optimal/)
06:35:24	24408/24408	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:18%20GMT	https://template.annimexweb.com/optimal/email-template/email-order-success2.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-order-success2.html	(from https://template.annimexweb.com/optimal/)
06:35:25	22537/22537	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:17%20GMT	https://template.annimexweb.com/optimal/email-template/email-invoice-template1.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-invoice-template1.html	(from https://template.annimexweb.com/optimal/)
06:35:25	23912/23912	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:17%20GMT	https://template.annimexweb.com/optimal/email-template/email-invoice-template2.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-invoice-template2.html	(from https://template.annimexweb.com/optimal/)
06:35:25	9476/9476	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:15%20GMT	https://template.annimexweb.com/optimal/email-template/email-forgot-password.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-forgot-password.html	(from https://template.annimexweb.com/optimal/)
06:35:26	11253/11253	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:16%20GMT	https://template.annimexweb.com/optimal/email-template/email-confirmation.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-confirmation.html	(from https://template.annimexweb.com/optimal/)
06:35:26	16863/16863	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:20%20GMT	https://template.annimexweb.com/optimal/email-template/email-promotional1.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-promotional1.html	(from https://template.annimexweb.com/optimal/)
06:35:26	24787/24787	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:20%20GMT	https://template.annimexweb.com/optimal/email-template/email-promotional2.html	D:/project/ecommerce/template.annimexweb.com/optimal/email-template/email-promotional2.html	(from https://template.annimexweb.com/optimal/)
06:35:27	99266/99266	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:42%20GMT	https://template.annimexweb.com/optimal/elements-typography.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-typography.html	(from https://template.annimexweb.com/optimal/)
06:35:27	100313/100313	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:28%20GMT	https://template.annimexweb.com/optimal/elements-buttons.html	D:/project/ecommerce/template.annimexweb.com/optimal/elements-buttons.html	(from https://template.annimexweb.com/optimal/)
